Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CalculatorTestSuite,,,2019-01-07 13:17:49,2019-01-07 13:17:56,7.116s,PASSED
,,,,,,
Test Cases/CalculatorTests/Addition,,,2019-01-07 13:17:50,2019-01-07 13:17:56,5.801s,PASSED
"sendRequest(findTestObject(""CalculatorSOAPService/Addition""))",,,2019-01-07 13:17:51,2019-01-07 13:17:54,3.457s,PASSED
"Response = sendRequestAndVerify(findTestObject(""CalculatorSOAPService/Addition""))",,,2019-01-07 13:17:54,2019-01-07 13:17:56,1.528s,PASSED
