Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
CalculatorTestSuite,,,2019-01-05 16:09:14,2019-01-05 16:09:21,6.675s,PASSED
,,,,,,
Test Cases/CalculatorTests/Addition,,,2019-01-05 16:09:15,2019-01-05 16:09:21,6.002s,PASSED
"sendRequest(findTestObject(""CalculatorSOAPService/Addition""))",,,2019-01-05 16:09:16,2019-01-05 16:09:19,3.496s,PASSED
"Response = sendRequestAndVerify(findTestObject(""CalculatorSOAPService/Addition""))",,,2019-01-05 16:09:19,2019-01-05 16:09:21,1.946s,PASSED
